iter	RMSE
0	78559988.18
1	77126435.94
2	75770611.16
3	74351232.59
4	73109471.62
5	71700345.33
6	70555957.97
7	69346123.88
8	68027126.62
9	66843430.86
10	65704173.88
11	64578395.96
12	63752028.97
13	62789962.66
14	61803757.47
15	60750263.16
16	59940165.45
17	59175044.7
18	58259232.43
19	57472949.2
20	56657008.37
21	55879513.85
22	55023218.47
23	54203974.89
24	53461609.37
25	52806220.91
26	51967972.77
27	51117797.86
28	50430653.37
29	49708601.97
30	49056450.15
31	48399903.52
32	47782650.24
33	47249467.62
34	46613687.13
35	46036113.01
36	45586080.53
37	44968896.2
38	44376707.9
39	43900273.35
40	43429193.76
41	42865800.3
42	42363327.4
43	41966446.61
44	41488377.31
45	41048651.04
46	40598616.68
47	40186202.76
48	39828175
49	39489724.38
50	39065902.54
51	38742822.85
52	38441807.39
53	38123184.14
54	37683789.69
55	37332860
56	37036064.31
57	36681862.87
58	36333759.6
59	35999989.87
60	35655852.32
61	35313414.08
62	35035700.68
63	34775452.92
64	34498910.51
65	34187701.84
66	33908992.16
67	33656297.26
68	33449868.57
69	33202758.71
70	33009466.73
71	32736409.42
72	32571917.02
73	32367255.51
74	32235431.98
75	31995871.63
76	31751905.91
77	31584479.36
78	31380935.15
79	31223606.08
80	31040152.07
81	30968574.05
82	30805167.04
83	30666618.96
84	30482504.95
85	30347295.13
86	30253154.23
87	30133566.86
88	29998046.04
89	29925129.3
90	29787912.96
91	29646260.99
92	29484598.49
93	29347556.2
94	29207051.01
95	29072891.57
96	28920672.51
97	28740453.17
98	28625388.29
99	28489824.38
100	28387874.42
101	28258693.42
102	28209672.91
103	28046329.21
104	27971104.54
105	27875742.7
106	27753948.5
107	27647408.18
108	27615416.3
109	27558187.75
110	27403291.35
111	27361776
112	27256184.52
113	27145261.13
114	27106692.07
115	27032361.02
116	26927392.38
117	26794162.11
118	26727170.24
119	26662040.07
120	26613855.91
121	26556979.41
122	26518610.4
123	26386456.98
124	26307619.23
125	26241870.81
126	26204183.31
127	26162686.75
128	26095000.97
129	26036367.8
130	25941188.24
131	25888189.33
132	25803591.45
133	25706320.33
134	25648921.69
135	25628445.86
136	25586630.47
137	25567415.52
138	25444423.43
139	25328082.71
140	25256596
141	25175772.41
142	25156202.62
143	25138424.49
144	25092457.42
145	25039033.4
146	25009822.77
147	24980182.16
148	24925639.65
149	24865418.95
150	24753748.06
151	24668141.52
152	24564309.42
153	24512108.98
154	24473611.51
155	24407864.46
156	24386944.21
157	24326806.41
158	24295592.59
159	24278990.72
160	24229778.99
161	24177387.23
162	24077387.85
163	24039146.75
164	23977108.69
165	23934332.56
166	23904520.1
167	23872148.16
168	23812601.33
169	23773546.12
170	23701064.94
171	23677959.8
172	23591174.24
173	23568728.35
174	23533501.69
175	23479740.43
176	23457790.14
177	23387881.36
178	23315674.94
179	23292814.14
180	23211770.11
181	23201829.61
182	23157044.32
183	23121821.92
184	23035261.02
185	22969859.21
186	22919348.58
187	22889578.71
188	22851767.01
189	22791334.94
190	22693759.47
191	22630329.07
192	22581996.14
193	22558948.84
194	22462492.91
195	22430037.64
196	22396128
197	22371576.8
198	22318236.95
199	22296621.62
200	22251411.93
201	22199658.36
202	22138482.61
203	22103316.07
204	22073094.43
205	22011641.46
206	21966160.17
207	21900944.28
208	21841190.1
209	21796226.25
210	21765963.22
211	21699770.7
212	21625889.66
213	21599322.76
214	21550621.64
215	21516049.85
216	21449110.56
217	21422348.44
218	21383114.66
219	21329998.26
220	21278040.26
221	21224767.44
222	21178513.12
223	21137437.32
224	21089953.03
225	21030944.68
226	20987422.38
227	20938294.21
228	20914375.09
229	20868627.8
230	20819924.14
231	20803651.91
232	20755802.26
233	20727805.98
234	20652111.34
235	20586727.82
236	20523946.43
237	20484704.28
238	20467273.49
239	20452433.94
240	20443768.21
241	20371964.81
242	20336741.69
243	20318018.75
244	20274246.62
245	20256391.14
246	20222961.94
247	20182361.79
248	20171499.9
249	20133487.64
250	20080397.28
251	20014332.69
252	19975082.47
253	19943398.4
254	19905056.84
255	19870890.33
256	19851936.56
257	19815432.62
258	19802574.59
259	19767743.38
260	19732755.02
261	19714075.64
262	19669688.23
263	19658511.52
264	19612705.83
265	19579542.87
266	19553715.12
267	19541658.47
268	19496533.59
269	19457125.9
270	19438683.88
271	19407731.69
272	19365159.92
273	19315629.86
274	19299049.39
275	19262589.46
276	19239297.97
277	19217271.63
278	19200346.81
279	19173047.01
280	19135890.85
281	19126839.89
282	19118017.36
283	19075755.13
284	19026756.16
285	19011727.77
286	18977105.93
287	18936818.47
288	18893185.03
289	18836551.02
290	18815831.66
291	18791149.73
292	18786994.01
293	18754393.78
294	18746067.23
295	18704985.41
296	18660982.88
297	18655059.74
298	18630957.51
299	18611861.89
300	18580430.97
301	18547824.68
302	18507417.57
303	18501347.62
304	18460301.28
305	18444265.28
306	18422156.46
307	18378256.61
308	18370431.07
309	18331976.7
310	18298033.4
311	18260170.34
312	18216363.16
313	18205189.72
314	18199927.34
315	18156937.08
316	18121055.57
317	18080614.76
318	18050790.87
319	18013434.38
320	17989801.96
321	17941313.93
322	17936226.74
323	17900967.18
324	17874993.89
325	17859687.72
326	17819576.63
327	17804799.85
328	17753686.75
329	17723401.55
330	17693656.01
331	17687556.56
332	17669071.36
333	17643472.33
334	17609204
335	17579944.81
336	17575119.68
337	17553212.23
338	17527788.05
339	17507034.1
340	17482685.55
341	17462780.11
342	17458314.94
343	17439992.35
344	17435677.35
345	17405746.02
346	17398734.57
347	17360042.79
348	17309410.49
349	17283241.76
350	17263210.14
351	17230295.19
352	17187902.08
353	17160890.36
354	17134197.18
355	17106301.24
356	17075004.42
357	17052868.93
358	17048976.35
359	17028322.34
360	17022187.38
361	16994201.29
362	16965674.75
363	16962023.14
364	16942721.58
365	16917168.29
366	16902796.92
367	16876342.2
368	16850376.99
369	16822175.39
370	16806455.44
371	16794545.52
372	16772376.51
373	16768166.91
374	16735029.21
375	16730954.74
376	16694318.71
377	16673090.55
378	16637381.93
379	16590783.33
380	16557424.33
381	16540449.32
382	16522402.47
383	16511342.36
384	16494271.71
385	16481190
386	16466632.05
387	16455246.78
388	16418057.92
389	16397771.57
390	16372311.48
391	16345924.73
392	16322150.16
393	16309248.48
394	16291345.97
395	16273155.31
396	16255837.27
397	16239508.79
398	16218837.62
399	16198340.06
400	16178769.03
401	16151213.43
402	16115948.33
403	16091196.34
404	16074111.07
405	16055621.43
406	16045000.11
407	16018565.23
408	15994049.51
409	15980558.53
410	15962718.74
411	15935804.07
412	15907968.42
413	15875802.2
414	15852918.29
415	15841851.48
416	15821470.61
417	15807044.77
418	15793107.21
419	15761394.38
420	15734785.61
421	15714570.83
422	15691610.15
423	15665613.26
424	15649497.03
425	15644269.46
426	15639785.85
427	15618354.52
428	15602585.83
429	15580176.11
430	15567016.04
431	15548142.91
432	15522678.19
433	15483350.01
434	15462831.54
435	15434787.64
436	15415145.46
437	15391926.75
438	15370592.83
439	15346110.62
440	15337632.55
441	15319373.71
442	15297653.89
443	15281133.13
444	15260123.29
445	15236492.44
446	15230393.16
447	15224469.11
448	15210928
449	15193049
450	15174060.02
451	15159465.75
452	15134131.48
453	15117006.09
454	15100757.61
455	15081223.73
456	15055441.18
457	15033283.59
458	15021170.51
459	14997082.4
460	14971702.89
461	14947713.63
462	14920306.39
463	14896008.6
464	14880295.19
465	14859050.79
466	14848049.11
467	14838389.72
468	14825242.62
469	14815846.08
470	14792467.82
471	14775280.03
472	14759691.95
473	14752571.04
474	14724167.13
475	14707780.6
476	14685839.87
477	14675263.82
478	14650647.89
479	14625465.55
480	14602728.76
481	14580978.44
482	14557948.49
483	14546367.64
484	14539500.73
485	14526585.57
486	14509678.97
487	14477445.6
488	14455243.39
489	14443243.32
490	14427111.44
491	14409617.45
492	14389659.39
493	14366874.71
494	14344269.15
495	14324458.28
496	14310976.58
497	14291509.12
498	14272858.17
499	14252239.04
500	14230885.91
501	14213066.76
502	14201054.92
503	14185631.48
504	14161422.95
505	14151651.62
506	14117304.41
507	14108683.81
508	14085446.44
509	14065785.82
510	14052899.44
511	14027231.87
512	14013717.25
513	13998008.89
514	13985555
515	13957599.9
516	13943509.3
517	13935285.21
518	13916570.75
519	13900284.96
520	13874817.88
521	13855683.37
522	13851890.38
523	13841337.25
524	13823276.77
525	13806711.56
526	13802184.39
527	13771063.05
528	13767691.58
529	13755094.5
530	13739120.89
531	13726125.03
532	13708920.92
533	13688783.43
534	13681480.02
535	13677343.4
536	13662512.12
537	13648955.91
538	13631347.11
539	13619381.57
540	13598716.42
541	13580372.23
542	13574409.9
543	13567537.48
544	13539528.81
545	13528750.85
546	13519211.83
547	13512708.19
548	13496600.75
549	13478827.26
550	13463644.38
551	13457419.91
552	13437658.66
553	13424441.12
554	13413132.48
555	13402373.65
556	13398726.15
557	13394464.74
558	13377453.36
559	13375286.38
560	13364755.18
561	13352566.08
562	13350478.57
563	13344619.09
564	13334968.06
565	13323868.36
566	13313306.2
567	13301648.79
568	13285296.33
569	13279639.1
570	13268370.27
571	13260802.46
572	13244715.33
573	13237991.18
574	13225354.24
575	13202883.22
576	13198673.21
577	13187693.23
578	13176109.33
579	13171408.54
580	13151070.55
581	13136613.79
582	13114771.36
583	13111134.31
584	13096201.72
585	13088002.4
586	13075414.05
587	13054788.12
588	13036825.87
589	13030709.68
590	13011335.44
591	13008846.87
592	13001193.07
593	12994961.21
594	12993511.02
595	12976778.97
596	12954020.1
597	12944084.5
598	12928929.27
599	12913165.16
600	12896486.53
601	12892704.66
602	12875501.51
603	12864341.67
604	12855193.86
605	12832866.89
606	12826457.18
607	12808580.3
608	12788938.57
609	12786574.23
610	12772151.07
611	12766102.62
612	12752455.18
613	12745035.69
614	12739773.17
615	12727982.29
616	12720961.29
617	12707114.26
618	12691006.53
619	12668012.86
620	12652344.56
621	12641649.88
622	12621081.88
623	12594860.56
624	12578679.31
625	12562053.45
626	12544913.7
627	12533790.96
628	12524523.67
629	12499283.09
630	12482897.26
631	12458722.75
632	12436441.91
633	12428466.24
634	12420686.64
635	12410105.08
636	12388520.95
637	12380832.1
638	12362346.51
639	12347012.52
640	12337497.8
641	12325867.67
642	12312318.29
643	12296607.41
644	12290301.29
645	12281273.17
646	12271423.47
647	12262684.15
648	12250129.95
649	12242395.74
650	12231170.65
651	12214088.73
652	12204857.76
653	12195377.83
654	12178383.34
655	12163986.31
656	12156697.67
657	12155452.3
658	12147819.13
