iter	Passed	Remaining
0	3	3582
1	6	3461
2	10	3336
3	18	4585
4	21	4257
5	24	4071
6	30	4393
7	34	4216
8	36	4065
9	39	3946
10	44	4036
11	47	3943
12	50	3862
13	53	3791
14	57	3754
15	63	3883
16	66	3827
17	80	4404
18	83	4320
19	86	4247
20	89	4176
21	95	4224
22	97	4160
23	100	4104
24	103	4051
25	106	4004
26	111	4011
27	114	3980
28	120	4045
29	126	4086
30	129	4050
31	132	4012
32	135	3975
33	138	3944
34	144	3974
35	147	3937
36	150	3904
37	154	3903
38	159	3941
39	162	3910
40	166	3882
41	170	3891
42	176	3937
43	180	3914
44	192	4080
45	268	5566
46	276	5603
47	279	5546
48	282	5489
49	292	5552
50	295	5496
51	298	5442
52	306	5474
53	309	5418
54	314	5411
55	323	5449
56	326	5400
57	329	5357
58	332	5310
59	336	5268
60	339	5230
61	342	5185
62	352	5241
63	398	5829
64	417	6005
65	420	5951
66	423	5897
67	428	5879
68	432	5830
69	435	5781
70	437	5730
71	441	5685
72	445	5653
73	448	5610
74	451	5566
75	454	5523
76	457	5481
77	461	5454
78	464	5413
79	468	5382
80	472	5357
81	482	5399
82	485	5361
83	488	5326
84	492	5302
85	495	5270
86	498	5235
87	502	5203
88	505	5170
89	510	5165
90	513	5132
91	516	5102
92	519	5070
93	523	5041
94	526	5014
95	529	4985
96	532	4956
97	535	4927
98	539	4907
99	542	4884
100	546	4864
101	549	4837
102	552	4813
103	557	4802
104	561	4784
105	564	4758
106	567	4733
107	571	4723
108	575	4701
109	578	4681
110	581	4657
111	584	4635
112	588	4620
113	592	4605
114	595	4583
115	598	4564
116	602	4543
117	606	4534
118	609	4513
119	615	4516
120	620	4505
121	623	4488
122	626	4467
123	629	4449
124	632	4430
125	639	4437
126	642	4418
127	646	4404
128	649	4385
129	655	4387
130	658	4368
131	662	4353
132	665	4335
133	671	4336
134	674	4319
135	677	4302
136	680	4284
137	683	4269
138	690	4277
139	693	4260
140	696	4245
141	702	4242
142	705	4227
143	708	4210
144	711	4194
145	717	4195
146	723	4196
147	726	4179
148	729	4164
149	734	4163
150	740	4161
151	743	4146
152	748	4141
153	752	4131
154	754	4115
155	757	4100
156	766	4116
157	769	4101
158	772	4087
159	776	4075
160	783	4081
161	786	4069
162	790	4057
163	793	4043
164	800	4049
165	804	4039
166	807	4026
167	814	4031
168	817	4018
169	820	4005
170	823	3991
171	827	3983
172	830	3971
173	833	3958
174	836	3945
175	841	3938
176	844	3927
177	847	3915
178	850	3902
179	854	3891
180	858	3885
181	862	3875
182	865	3863
183	868	3850
184	871	3838
185	875	3832
186	878	3820
187	881	3809
188	884	3796
189	888	3786
190	892	3781
191	895	3769
192	898	3758
193	901	3746
194	905	3736
195	908	3726
196	911	3715
197	915	3710
198	918	3698
199	922	3688
200	925	3677
201	928	3666
202	932	3659
203	935	3650
204	938	3639
205	941	3629
206	944	3618
207	947	3609
208	951	3601
209	954	3591
210	957	3581
211	960	3570
212	963	3561
213	967	3552
214	970	3541
215	973	3531
216	976	3521
217	979	3512
218	982	3503
219	986	3498
220	989	3489
221	995	3487
222	998	3477
223	1000	3467
224	1003	3457
225	1006	3448
226	1010	3442
227	1013	3433
228	1016	3423
229	1020	3417
230	1023	3408
231	1028	3404
232	1031	3395
233	1034	3386
234	1037	3377
235	1041	3371
236	1044	3363
237	1047	3354
238	1051	3346
239	1054	3339
240	1058	3333
241	1061	3324
242	1064	3315
243	1067	3308
244	1070	3299
245	1076	3299
246	1079	3291
247	1082	3283
248	1086	3276
249	1093	3281
250	1097	3275
251	1100	3267
252	1105	3263
253	1108	3255
254	1111	3247
255	1114	3239
256	1117	3231
257	1121	3226
258	1125	3220
259	1129	3214
260	1132	3206
261	1145	3226
262	1148	3218
263	1152	3212
264	1156	3206
265	1159	3198
266	1162	3190
267	1165	3182
268	1168	3174
269	1174	3175
270	1177	3168
271	1181	3161
272	1184	3153
273	1190	3154
274	1193	3147
275	1197	3141
276	1202	3139
277	1212	3148
278	1215	3140
279	1221	3139
280	1224	3132
281	1227	3126
282	1231	3118
283	1235	3115
284	1239	3110
285	1258	3142
286	1262	3135
287	1265	3128
288	1269	3122
289	1272	3115
290	1275	3108
291	1278	3100
292	1281	3093
293	1286	3088
294	1289	3082
295	1303	3100
296	1307	3094
297	1310	3087
298	1313	3079
299	1318	3076
300	1321	3069
301	1324	3061
302	1329	3057
303	1335	3056
304	1344	3062
305	1349	3059
306	1352	3052
307	1355	3045
308	1359	3039
309	1364	3036
310	1374	3045
311	1378	3040
312	1390	3051
313	1393	3045
314	1399	3042
315	1402	3034
316	1405	3027
317	1408	3020
318	1412	3014
319	1415	3008
320	1419	3002
321	1422	2995
322	1429	2997
323	1433	2989
324	1436	2983
325	1439	2976
326	1442	2969
327	1446	2964
328	1450	2958
329	1453	2951
330	1456	2944
331	1462	2942
332	1466	2936
333	1469	2929
334	1473	2924
335	1478	2921
336	1481	2914
337	1485	2908
338	1488	2901
339	1492	2898
340	1497	2894
341	1501	2888
342	1504	2881
343	1509	2878
344	1513	2873
345	1516	2866
346	1519	2859
347	1522	2852
348	1527	2849
349	1530	2843
350	1534	2836
351	1537	2829
352	1542	2827
353	1547	2824
354	1550	2817
355	1553	2810
356	1557	2805
357	1561	2800
358	1566	2796
359	1569	2789
360	1574	2787
361	1578	2781
362	1581	2775
363	1584	2768
364	1587	2762
365	1591	2757
366	1594	2750
367	1597	2743
368	1600	2737
369	1604	2731
370	1608	2727
371	1611	2721
372	1615	2716
373	1620	2712
374	1624	2707
375	1627	2700
376	1630	2694
377	1633	2687
378	1636	2682
379	1642	2679
380	1645	2672
381	1648	2667
382	1658	2671
383	1661	2665
384	1664	2659
385	1669	2654
386	1672	2648
387	1674	2641
388	1677	2635
389	1680	2629
390	1684	2624
391	1687	2617
392	1691	2612
393	1694	2606
394	1699	2603
395	1704	2599
396	1708	2594
397	1710	2587
398	1716	2585
399	1719	2579
400	1723	2573
401	1726	2568
402	1729	2562
403	1734	2558
404	1737	2552
405	1740	2546
406	1743	2540
407	1746	2534
408	1751	2530
409	1754	2524
410	1758	2520
411	1763	2516
412	1767	2511
413	1769	2505
414	1773	2499
415	1776	2493
416	1782	2491
417	1785	2485
418	1788	2479
419	1791	2473
420	1802	2478
421	1805	2472
422	1808	2466
423	1812	2462
424	1817	2458
425	1820	2452
426	1823	2446
427	1826	2441
428	1829	2435
429	1832	2429
430	1838	2427
431	1841	2421
432	1845	2417
433	1848	2411
434	1852	2405
435	1855	2399
436	1858	2393
437	1863	2390
438	1866	2384
439	1868	2378
440	1872	2373
441	1876	2368
442	1879	2362
443	1882	2357
444	1885	2351
445	1888	2345
446	1892	2341
447	1896	2336
448	1899	2330
449	1902	2325
450	1905	2319
451	1909	2314
452	1913	2310
453	1916	2304
454	1919	2299
455	1923	2294
456	1926	2289
457	1929	2283
458	1932	2277
459	1935	2271
460	1938	2266
461	1943	2263
462	1947	2258
463	1950	2252
464	1953	2247
465	1958	2244
466	1961	2238
467	1964	2233
468	1967	2227
469	1970	2222
470	1976	2220
471	1980	2215
472	1983	2209
473	1986	2204
474	1990	2199
475	1993	2194
476	1996	2188
477	1999	2183
478	2002	2177
479	2006	2173
480	2010	2168
481	2012	2163
482	2025	2168
483	2028	2162
484	2031	2157
485	2034	2152
486	2038	2147
487	2041	2142
488	2045	2137
489	2048	2131
490	2051	2126
491	2054	2121
492	2083	2142
493	2093	2144
494	2096	2139
495	2109	2143
496	2116	2142
497	2124	2141
498	2127	2136
499	2130	2130
500	2137	2128
501	2140	2123
502	2143	2118
503	2146	2112
504	2151	2108
505	2154	2103
506	2157	2097
507	2160	2092
508	2163	2086
509	2166	2081
510	2169	2076
511	2172	2071
512	2175	2065
513	2179	2060
514	2194	2066
515	2198	2062
516	2202	2057
517	2205	2051
518	2208	2046
519	2211	2041
520	2215	2036
521	2219	2032
522	2222	2026
523	2234	2029
524	2237	2024
525	2240	2019
526	2243	2013
527	2247	2009
528	2253	2006
529	2256	2000
530	2259	1995
531	2264	1992
532	2269	1988
533	2272	1982
534	2275	1977
535	2280	1974
536	2284	1969
537	2287	1964
538	2290	1958
539	2293	1953
540	2298	1949
541	2334	1972
542	2337	1967
543	2340	1961
544	2343	1956
545	2348	1952
546	2351	1947
547	2354	1941
548	2357	1936
549	2360	1931
550	2363	1926
551	2370	1924
552	2374	1919
553	2378	1915
554	2382	1909
555	2385	1904
556	2388	1899
557	2391	1894
558	2395	1889
559	2398	1884
560	2401	1879
561	2407	1875
562	2410	1871
563	2414	1866
564	2416	1860
565	2419	1855
566	2422	1850
567	2425	1845
568	2430	1840
569	2433	1835
570	2436	1830
571	2440	1825
572	2443	1821
573	2446	1815
574	2449	1810
575	2457	1809
576	2461	1804
577	2463	1798
578	2467	1793
579	2470	1788
580	2475	1785
581	2478	1780
582	2481	1775
583	2484	1769
584	2487	1764
585	2492	1761
586	2495	1755
587	2498	1750
588	2501	1745
589	2505	1740
590	2508	1735
591	2511	1730
592	2514	1725
593	2517	1720
594	2522	1717
595	2527	1712
596	2530	1708
597	2533	1703
598	2538	1699
599	2541	1694
600	2544	1689
601	2547	1684
602	2551	1679
603	2556	1676
604	2559	1671
605	2562	1666
606	2565	1661
607	2569	1656
